Time (min),200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420
0.0000,-2,1,-2,-2,0,-1,0,-2,0,0,-2,98,58579,-2,-1,-2,83,1,84,-1,627,334,296431
0.0004,-1,0,0,-1,-1,-2,1,1,0,0,1,95,58852,1,1,0,80,-1,83,-1,632,333,297386
0.0008,0,0,1,1,-2,0,-1,0,0,-1,1,98,59128,0,1,-1,81,0,81,-1,636,335,298342
0.0012,-2,-1,-1,-1,0,1,-1,-1,0,1,1,95,59408,0,0,-2,81,0,81,1,639,338,299304
0.0016,0,0,0,-1,-2,1,-2,0,0,-1,0,98,59685,0,0,-2,81,1,83,0,642,339,300269
0.0020,1,-1,-1,-2,1,1,0,1,-1,0,0,95,59967,0,0,1,82,-2,84,0,643,344,301232
0.0025,-2,1,-1,-1,0,-1,1,1,0,1,0,97,60319,1,0,1,81,-2,83,1,650,345,302447
0.0029,-1,0,-2,0,0,-1,0,-2,0,1,-1,96,60601,0,-1,-1,82,-2,81,0,653,348,303418
0.0033,-1,1,-1,-1,0,-1,1,-2,-1,0,1,98,60882,-1,-1,-2,82,-1,81,0,658,351,304391
0.0037,1,0,-2,0,-2,1,0,0,1,0,0,95,61171,0,0,0,82,-1,83,1,660,351,305370
0.0041,-2,1,-1,1,-2,0,-1,-2,1,0,-2,95,61457,-2,1,-2,81,-2,82,0,664,353,306349
0.0045,-2,0,-2,0,-2,-2,-2,-1,0,-1,0,95,61742,0,-1,1,83,-2,83,0,667,356,307334
0.0049,-2,0,-2,0,0,0,-1,0,0,1,-1,97,62033,1,1,-2,82,-2,81,1,672,358,308319
0.0053,-2,-1,-2,0,-1,1,1,1,-1,1,-2,97,62320,-1,1,-1,80,1,84,0,675,361,309306
0.0057,-1,0,1,1,-1,0,-2,-2,0,0,1,95,62612,0,1,-2,82,1,84,0,678,360,310297
0.0061,-1,1,-2,0,0,0,-2,0,0,1,1,95,62907,-1,0,0,80,-2,84,0,682,362,311291
0.0065,-1,0,0,-2,1,0,0,0,0,0,1,96,63198,0,0,1,82,1,84,1,686,368,312290
0.0070,-2,1,-1,1,-2,-2,-2,-1,-1,-1,-2,95,63569,0,-1,-1,82,0,82,0,690,369,313537
0.0074,-2,1,-1,-1,-1,-2,0,-1,1,0,-2,96,63863,1,1,0,80,1,81,0,696,371,314543
0.0078,-2,0,-2,-1,0,-1,-1,-2,0,1,0,98,64161,-2,0,0,80,1,84,0,697,373,315547
0.0082,1,0,-1,-2,-2,-2,0,-1,1,1,1,98,64461,1,-1,-2,83,-1,81,0,701,377,316555
0.0086,0,-1,0,-2,-2,-2,-2,-2,0,-1,0,98,64760,-2,0,-2,81,-1,81,0,707,378,317566
0.0090,-1,0,1,0,0,-1,0,0,0,1,-2,97,65063,-2,-1,1,81,-1,83,0,710,380,318581
0.0094,-2,1,-1,-2,-1,-2,-1,0,0,0,-2,98,65365,-1,1,-1,82,1,83,0,716,380,319596
0.0098,0,-1,-1,0,1,1,-2,-2,0,-1,1,97,65670,-1,-1,1,82,0,82,0,717,383,320615
0.0102,0,1,1,-1,-2,-1,0,-2,1,0,0,95,65974,-2,0,0,80,-1,84,0,722,386,321640
0.0106,1,-1,1,0,0,-1,0,-1,0,-1,1,96,66281,-1,0,0,81,-2,83,0,728,387,322666
0.0111,0,-1,1,0,-1,0,0,-1,-1,-1,0,97,66666,1,0,0,83,1,83,1,733,393,323950
0.0115,1,0,0,1,1,-2,-2,0,0,0,1,97,66976,0,0,-1,82,0,83,0,735,395,324982
0.0119,1,-1,0,1,0,1,0,-1,0,0,1,98,67288,-1,0,0,82,-1,84,-1,738,398,326016
0.0123,-2,-1,0,-2,-2,-1,1,1,-1,1,-1,97,67600,0,-1,-2,81,1,84,-1,745,399,327052
0.0127,-1,0,-1,-2,-1,0,-1,1,-1,1,1,95,67914,-1,0,-2,80,-2,83,1,747,402,328091
0.0131,0,0,0,-2,0,-2,-2,-1,1,-1,-1,98,68230,-1,0,-2,83,0,83,0,750,403,329136
0.0135,-2,1,0,0,-2,0,1,-1,-1,0,-2,96,68543,0,-1,-1,83,1,83,0,757,407,330182
0.0139,-1,0,1,-2,-1,-2,1,0,0,1,1,98,68860,-2,0,0,82,-2,83,1,759,406,331231
