Time (min),190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360
0.0000,-1,-2,27,23,98,1,48,69,-1,-2093,39,-1,822,1,0,16,40,0
0.0004,0,0,26,23,99,1,50,70,-1,-2109,36,-1,830,-1,0,14,40,-1
0.0009,-2,1,26,24,100,-1,47,68,-2,-2132,38,-1,835,0,-2,15,40,0
0.0013,0,-1,25,21,101,-1,47,68,-1,-2153,39,-2,841,-2,-1,13,41,0
0.0017,-2,0,26,21,98,-1,48,68,1,-2173,37,0,846,0,0,14,40,-1
0.0022,-1,1,26,22,99,0,47,68,0,-2196,38,0,851,-2,-1,13,42,-1
0.0026,-2,-1,26,24,99,-1,49,70,-1,-2214,39,1,855,-2,0,16,42,1
0.0030,1,1,26,21,98,0,49,69,-2,-2234,37,0,864,1,-1,14,43,-1
0.0035,-1,1,25,24,100,1,49,71,0,-2257,41,-1,868,1,-1,15,40,1
0.0039,1,1,25,22,101,1,47,71,0,-2276,38,0,874,0,1,16,43,0
0.0043,0,-1,25,21,98,-1,47,69,-2,-2297,40,1,879,1,-1,15,42,1
0.0048,-2,-2,26,23,100,0,48,69,-2,-2323,42,1,885,-2,1,14,41,0
0.0052,0,-1,25,22,100,-2,48,71,-2,-2342,41,1,892,-2,0,15,40,0
0.0056,1,-2,24,22,100,-1,49,69,0,-2364,39,0,898,-1,-1,15,40,-1
0.0061,-1,-2,26,22,98,1,49,69,-2,-2389,40,-1,905,1,-1,16,42,0
0.0065,1,0,25,23,99,-1,48,70,0,-2409,42,1,910,0,-2,16,41,0
0.0069,0,1,26,22,100,-2,47,68,0,-2430,40,0,917,-2,-2,14,43,0
0.0074,1,-1,26,24,101,0,48,68,-1,-2457,42,0,922,0,0,14,41,-1
0.0078,0,-2,26,23,99,-1,47,68,-1,-2477,40,0,930,0,0,14,43,0
0.0082,-1,-1,25,21,99,-2,49,69,1,-2498,41,1,934,0,0,14,43,0
0.0087,-2,1,25,21,101,-2,50,71,-1,-2527,41,-2,942,-1,0,13,40,-1
0.0091,1,-2,26,23,101,-2,49,71,-1,-2549,43,1,948,-2,0,14,40,-1
0.0095,0,0,25,23,100,-1,48,71,-1,-2570,42,-2,953,0,-2,14,41,0
0.0100,0,-1,27,24,98,-1,47,68,0,-2598,45,0,959,0,1,15,40,1
0.0104,-2,0,25,22,99,0,48,70,0,-2621,45,0,966,-2,-1,13,42,1
0.0108,-2,-1,26,23,98,-1,47,68,0,-2643,45,1,972,1,0,15,43,0
0.0113,-2,0,25,24,100,-2,48,71,0,-2671,46,-1,978,1,0,13,41,0
0.0117,1,1,27,23,99,1,47,68,1,-2696,45,-1,987,0,0,13,41,0
0.0121,0,1,27,21,98,0,50,70,-1,-2717,45,-1,991,0,-1,13,42,1
0.0126,0,0,27,24,99,1,50,70,1,-2746,45,-2,1001,-1,1,14,41,-1
0.0130,0,1,25,21,100,-1,48,69,1,-2770,44,-2,1004,0,-1,15,40,0
0.0134,1,0,27,22,101,-2,49,71,0,-2794,45,-2,1012,-2,-1,13,40,0
0.0139,0,-2,27,21,101,1,50,68,-2,-2825,45,-1,1018,-2,1,16,43,0
0.0143,-1,0,24,21,98,-2,49,71,-2,-2848,46,-1,1027,1,0,16,40,0
0.0147,-1,-2,24,23,98,0,50,69,0,-2871,48,0,1031,0,-2,13,43,0
0.0152,-1,0,27,22,101,-2,47,69,-1,-2902,46,-2,1041,1,-2,13,42,0
0.0156,-1,-2,26,21,100,-2,50,69,0,-2929,49,0,1045,1,1,13,41,0
0.0161,-1,1,24,24,100,1,47,71,-1,-2958,47,1,1053,0,-2,15,42,0
0.0165,-1,-1,25,24,98,1,48,70,-2,-2983,47,-1,1060,0,1,16,43,0
0.0169,-2,1,25,21,100,0,47,70,-1,-3011,47,1,1069,-2,1,15,40,-1
0.0174,1,-2,25,23,98,0,49,69,-1,-3042,48,0,1076,1,1,16,42,0
0.0178,1,-2,25,21,99,1,49,69,-2,-3066,49,1,1080,1,-1,16,41,0
0.0182,0,1,27,24,101,-2,49,68,-2,-3093,47,-2,1087,-2,0,13,40,0
0.0187,-1,0,27,24,101,1,50,70,1,-3125,51,-2,1098,0,-1,13,40,0
0.0191,-2,-2,27,24,99,-1,47,70,0,-3155,49,1,1104,-2,1,15,43,-1
0.0195,0,-2,24,23,100,0,49,69,-1,-3181,51,-2,1110,-2,1,15,43,1
0.0200,-1,1,26,22,100,-2,47,71,0,-3213,52,0,1119,1,-2,14,40,0
0.0204,0,1,24,22,98,-1,47,69,1,-3240,49,0,1127,-1,0,13,42,0
0.0208,0,0,25,22,101,0,48,71,-2,-3267,51,0,1132,0,-1,13,40,-1
0.0213,1,-2,24,24,98,1,49,71,0,-3301,50,1,1141,-1,0,16,42,1
0.0217,-1,1,24,22,101,-1,50,71,-2,-3331,50,0,1148,-1,0,16,43,1
0.0221,0,-2,27,21,101,0,47,71,0,-3360,50,0,1153,1,-2,15,43,-1
0.0226,-1,0,25,24,98,-1,47,70,1,-3393,51,-1,1164,-2,-1,14,42,0
0.0230,-2,-2,25,23,101,-1,49,68,-1,-3424,52,0,1169,-1,-1,14,42,0
0.0234,1,-2,25,23,100,-2,48,71,0,-3452,52,0,1176,-1,1,15,40,0
0.0239,0,-2,27,24,100,1,50,71,0,-3487,53,-2,1186,0,-1,13,42,1
0.0243,-1,-2,27,24,99,-2,47,71,0,-3517,54,0,1195,-2,-1,13,42,-1
0.0247,1,-2,26,23,99,0,50,68,0,-3548,54,-2,1201,-1,0,13,41,-1
0.0252,-2,-2,27,24,98,0,48,70,-2,-3585,56,-2,1212,0,-1,13,42,0
0.0256,-1,0,27,21,98,-2,50,69,0,-3612,54,-1,1217,1,-1,16,41,0
